10301261	_derivationally_related_form	06000644
01739814	_derivationally_related_form	00916464
00084230	_derivationally_related_form	00612160
02700455	_verb_group	02659763
02700104	_verb_group	02657219
02657219	_verb_group	02700104
02630189	_verb_group	02204692
02630189	_verb_group	02203362
02502536	_verb_group	02671279
02416751	_verb_group	02416278
02416278	_verb_group	02416751
02389592	_verb_group	02389346
02389346	_verb_group	02389592
01877204	_verb_group	01876907
01876907	_verb_group	01877204
01690294	_verb_group	01582645
01684337	_verb_group	01551871
01647672	_verb_group	01629000
01643464	_verb_group	01582645
01640550	_verb_group	01753596
01588493	_verb_group	00508032
01583656	_verb_group	01583494
01582645	_verb_group	01690294
01582645	_verb_group	01643464
01465218	_verb_group	01465365
01293389	_verb_group	01292885
01224744	_verb_group	00597385
01069190	_verb_group	01069391
00921738	_verb_group	00651991
00651991	_verb_group	00921738
00597385	_verb_group	01224744
00508032	_verb_group	01588493
00456596	_verb_group	00456740
00443384	_verb_group	00443116
00443116	_verb_group	00443384
00429060	_verb_group	00429968
00245457	_verb_group	00231557
00100044	_verb_group	00833702
00047945	_verb_group	00046534
00046534	_verb_group	00047945
00046534	_verb_group	00044797
00046534	_verb_group	00043683
00044797	_verb_group	00046534
00044797	_verb_group	00044149
00044149	_verb_group	00044797
15224293	_derivationally_related_form	00235368
15224293	_derivationally_related_form	00233335
15046900	_derivationally_related_form	00445169
14480772	_derivationally_related_form	00445467
14480772	_derivationally_related_form	00445169
14445379	_derivationally_related_form	00476819
14442530	_derivationally_related_form	10678662
14442530	_derivationally_related_form	02646931
14442530	_derivationally_related_form	02539334
14441825	_derivationally_related_form	02646931
14441825	_derivationally_related_form	00791227
14413644	_derivationally_related_form	02513460
14405931	_derivationally_related_form	01785748
14405931	_derivationally_related_form	01781983
14110411	_derivationally_related_form	00443384
14008806	_derivationally_related_form	01510827
13999663	_derivationally_related_form	01301410
13998781	_derivationally_related_form	01301410
13998576	_derivationally_related_form	02711114
13996300	_derivationally_related_form	02496816
13988663	_derivationally_related_form	01149494
13987423	_derivationally_related_form	01148283
13971561	_derivationally_related_form	01765392
13970764	_derivationally_related_form	01765392
13970764	_derivationally_related_form	00294884
13969700	_derivationally_related_form	01765392
13969243	_derivationally_related_form	02700104
13969243	_derivationally_related_form	00483181
13969243	_derivationally_related_form	00482473
13913566	_derivationally_related_form	02144644
13913566	_derivationally_related_form	01697027
13913566	_derivationally_related_form	01662771
13913566	_derivationally_related_form	00981276
13905792	_derivationally_related_form	01276361
13903387	_derivationally_related_form	02710673
13903079	_derivationally_related_form	02710673
13903079	_derivationally_related_form	01466978
13860793	_derivationally_related_form	00445169
13792692	_derivationally_related_form	01492052
13792692	_derivationally_related_form	01354673
13743605	_derivationally_related_form	01465365
13743605	_derivationally_related_form	01465218
13743605	_derivationally_related_form	01292885
13559782	_derivationally_related_form	00119524
13559782	_derivationally_related_form	00119266
13491060	_derivationally_related_form	00527572
13491060	_derivationally_related_form	00445467
13491060	_derivationally_related_form	00445169
13491060	_derivationally_related_form	00443116
13491060	_derivationally_related_form	00442669
13489037	_derivationally_related_form	00245457
13489037	_derivationally_related_form	00231557
13470491	_derivationally_related_form	00431826
13457378	_derivationally_related_form	00431826
13457378	_derivationally_related_form	00151689
13454318	_derivationally_related_form	01742726
13451508	_derivationally_related_form	00442669
13427078	_derivationally_related_form	00150287
13321495	_derivationally_related_form	02502536
13240514	_derivationally_related_form	10389398
13085864	_derivationally_related_form	01741446
13085864	_derivationally_related_form	01321002
13085864	_derivationally_related_form	01320009
11415084	_derivationally_related_form	02661252
10689564	_derivationally_related_form	04160372
10689564	_derivationally_related_form	01666717
10689564	_derivationally_related_form	01666327
10678662	_derivationally_related_form	14442530
10678472	_derivationally_related_form	00462092
10676877	_derivationally_related_form	02443049
10668450	_derivationally_related_form	00462092
10645611	_derivationally_related_form	01648126
10640620	_derivationally_related_form	01428853
10584318	_derivationally_related_form	01666327
10584318	_derivationally_related_form	01329239
10529231	_derivationally_related_form	02204692
10529231	_derivationally_related_form	02203362
10525134	_derivationally_related_form	02441022
10525134	_derivationally_related_form	01819554
10525134	_derivationally_related_form	00233335
10470460	_derivationally_related_form	01203715
10470460	_derivationally_related_form	01150559
10448983	_derivationally_related_form	00752335
10419047	_derivationally_related_form	02661252
10402417	_derivationally_related_form	08060694
10402417	_derivationally_related_form	06526291
10389398	_derivationally_related_form	13240514
10389398	_derivationally_related_form	02204692
10388924	_derivationally_related_form	13240514
10388924	_derivationally_related_form	02204692
10388924	_derivationally_related_form	00809465
10388732	_derivationally_related_form	02443049
10388440	_derivationally_related_form	02539334
10388440	_derivationally_related_form	00595684
10388440	_derivationally_related_form	00595146
10378780	_derivationally_related_form	02443849
10371741	_derivationally_related_form	00752335
10341660	_derivationally_related_form	02987454
10341660	_derivationally_related_form	02987177
10341660	_derivationally_related_form	02661252
10341660	_derivationally_related_form	00119873
10325774	_derivationally_related_form	01697406
10317007	_derivationally_related_form	00752335
10308732	_derivationally_related_form	00260648
10299875	_derivationally_related_form	01293389
10298912	_derivationally_related_form	02447001
10298912	_derivationally_related_form	00595146
10298912	_derivationally_related_form	00589769
10298647	_derivationally_related_form	00595146
10291110	_derivationally_related_form	01211699
10280130	_derivationally_related_form	00597634
10280130	_derivationally_related_form	00597385
10280130	_derivationally_related_form	00595146
10213034	_derivationally_related_form	02538765
10210648	_derivationally_related_form	01753596
10164233	_derivationally_related_form	00595146
10161363	_derivationally_related_form	01320009
10160412	_derivationally_related_form	00483181
10160412	_derivationally_related_form	00482473
10155849	_derivationally_related_form	05750163
10155849	_derivationally_related_form	05256862
10155849	_derivationally_related_form	04928903
10155849	_derivationally_related_form	01666894
10093908	_derivationally_related_form	00300537
10080337	_derivationally_related_form	01340439
10079210	_derivationally_related_form	10078806
10078806	_derivationally_related_form	10079210
10078806	_derivationally_related_form	01739814
10033082	_derivationally_related_form	00047945
10033082	_derivationally_related_form	00046534
10029269	_derivationally_related_form	00935940
10029068	_derivationally_related_form	01690294
10029068	_derivationally_related_form	01643464
10029068	_derivationally_related_form	00935940
10012815	_derivationally_related_form	00650016
09972157	_derivationally_related_form	01753596
09964805	_derivationally_related_form	01693881
09956578	_derivationally_related_form	00462092
09953178	_derivationally_related_form	02553697
09952163	_derivationally_related_form	01765392
09952163	_derivationally_related_form	01647867
09952163	_derivationally_related_form	01093587
09952163	_derivationally_related_form	00482473
09941964	_derivationally_related_form	02441022
09941964	_derivationally_related_form	00751887
09941571	_derivationally_related_form	02441022
09941571	_derivationally_related_form	00751887
09941383	_derivationally_related_form	02441022
09941383	_derivationally_related_form	00751887
09941383	_derivationally_related_form	00590626
09935434	_derivationally_related_form	08060694
09935434	_derivationally_related_form	06526291
09935434	_derivationally_related_form	02416278
09931640	_derivationally_related_form	02443049
09931640	_derivationally_related_form	01804414
09931640	_derivationally_related_form	00833702
09816771	_derivationally_related_form	02470175
09812338	_derivationally_related_form	02743547
09803429	_derivationally_related_form	00760956
09802641	_derivationally_related_form	02272549
09784443	_derivationally_related_form	00064095
09780828	_derivationally_related_form	00751887
09779790	_derivationally_related_form	01742726
09779790	_derivationally_related_form	01739814
09779790	_derivationally_related_form	01104406
09779790	_derivationally_related_form	00916464
09779790	_derivationally_related_form	00245457
09769929	_derivationally_related_form	00296178
09758781	_derivationally_related_form	01466978
09625401	_derivationally_related_form	02496816
09624559	_derivationally_related_form	00760956
09476521	_derivationally_related_form	00290740
